Ts,t,Q released,Weight loss,Q  Base line,W  Base line,Q corrected,Weight loss corrected,Q acumulated,Remaining Weight,,T (oC),Column,Row,Weight [%],Column,Row,,Sample,"Total OM loss
[%]","Total Q released
[J g-1]","Q' 
[J mg-1 OM]","Q50
[J g-1]","T50Q
[oC]","Q1
[%]","Q2
[%]","Q3
[%]","T1Q 
[oC]","T2Q 
[oC]","T3Q 
[oC]","W50
[%]","T50W
[oC]","W1
(%)","W2
(%)","W3
(%)","T1W 
[oC]","T2W 
[oC]","T3W 
[oC]"
[oC],[s],[W g-1],[% OM loss oC-1],[W g-1],[% OM loss oC-1],[W g-1],[mg OM g-1 sample oC-1],[J g-1],[%],,150,J,600,96.1,G,600,,SIA2,5.9,543,9141,272,345,70.1,29.6,0.3,336.3,375.0,475.0,3.0,382,2.8,1.8,1.3,296.4,458.9,475.0
5.21E+01,0.00E+00,-1.95E-01,0.00E+00,-1.95E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,375,J,1919,93.2,G,1920,,,,,,,,,,,,,,,,,,,,,
5.21E+01,1.00E+00,-2.05E-01,0.00E+00,-2.05E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,475,J,2517,91.4,G,2518,,,,,,,,,,,,,,,,,,,,,
5.21E+01,2.00E+00,-2.04E-01,0.00E+00,-2.04E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,600,J,3263,90.1,G,3263,,,,,,,,,,,,,,,,,,,,,
5.21E+01,3.00E+00,-2.04E-01,0.00E+00,-2.04E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,H,Total OM loss [%],5.9,,,,,,,,,,,,,,,,,,,,,,,
5.22E+01,4.00E+00,-2.06E-01,0.00E+00,-2.06E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,W50 [%],3.0,,,,,,,,,,,,,,,,,,,,,,,
5.23E+01,5.00E+00,-2.09E-01,0.00E+00,-2.09E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,W50 [%] Relative,93.1,,,,,,,,,,,,,,,,,,,,,,,
5.24E+01,6.00E+00,-2.12E-01,0.00E+00,-2.12E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.25E+01,7.00E+00,-2.14E-01,0.00E+00,-2.14E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.26E+01,8.00E+00,-2.17E-01,0.00E+00,-2.17E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.27E+01,9.00E+00,-2.19E-01,0.00E+00,-2.19E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,Q'= Q/OM [J mg OM-1],Q corrected,Q corrected abs,Q50,Groups of resistance to thermal oxidation,,,,,,,,,,,,,,,,,,,,,,
5.28E+01,1.00E+01,-2.21E-01,0.00E+00,-2.21E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,oC,,,,,,,,,,,,,,,,,,,,,
5.29E+01,1.10E+01,-2.23E-01,0.00E+00,-2.23E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,9141.1,543,543,271.7,Q total,150-600,,,,,,,,,,,,,,,,,,,,,
5.31E+01,1.20E+01,-2.25E-01,0.00E+00,-2.25E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.32E+01,1.30E+01,-2.27E-01,0.00E+00,-2.27E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,381,381,,Q1,150-375,,,,,,,,,,,,,,,,,,,,,
5.33E+01,1.40E+01,-2.29E-01,0.00E+00,-2.29E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.35E+01,1.50E+01,-2.30E-01,0.00E+00,-2.30E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,161,161,,Q2,375-475,,,,,,,,,,,,,,,,,,,,,
5.36E+01,1.60E+01,-2.32E-01,0.00E+00,-2.32E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.37E+01,1.70E+01,-2.33E-01,0.00E+00,-2.33E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,1,1,,Q3,475-600,,,,,,,,,,,,,,,,,,,,,
5.39E+01,1.80E+01,-2.34E-01,0.00E+00,-2.34E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.40E+01,1.90E+01,-2.36E-01,0.00E+00,-2.36E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,543,543,,Q1+Q2+Q3,150-580,,,,,,,,,,,,,,,,,,,,,
5.42E+01,2.00E+01,-2.37E-01,0.00E+00,-2.37E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.43E+01,2.10E+01,-2.38E-01,0.00E+00,-2.38E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.45E+01,2.20E+01,-2.39E-01,0.00E+00,-2.39E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.46E+01,2.30E+01,-2.40E-01,0.00E+00,-2.40E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.48E+01,2.40E+01,-2.41E-01,0.00E+00,-2.41E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.50E+01,2.50E+01,-2.41E-01,0.00E+00,-2.41E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.51E+01,2.60E+01,-2.42E-01,0.00E+00,-2.42E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.52E+01,2.70E+01,-2.43E-01,0.00E+00,-2.43E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.54E+01,2.80E+01,-2.43E-01,0.00E+00,-2.43E-01,0.00E+00,0.0000,0.0000,0.00,9.90E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.56E+01,2.90E+01,-2.43E-01,0.00E+00,-2.43E-01,0.00E+00,0.0000,0.0000,0.00,9.90E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.57E+01,3.00E+01,-2.44E-01,0.00E+00,-2.44E-01,0.00E+00,0.0000,0.0000,0.00,9.90E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.59E+01,3.10E+01,-2.44E-01,0.00E+00,-2.44E-01,0.00E+00,0.0000,0.0000,0.00,9.90E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.60E+01,3.20E+01,-2.44E-01,0.00E+00,-2.44E-01,0.00E+00,0.0000,0.0000,0.00,9.90E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.62E+01,3.30E+01,-2.44E-01,0.00E+00,-2.44E-01,0.00E+00,0.0000,0.0000,0.00,9.90E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.63E+01,3.40E+01,-2.45E-01,0.00E+00,-2.45E-01,0.00E+00,0.0000,0.0000,0.00,9.90E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.65E+01,3.50E+01,-2.45E-01,0.00E+00,-2.45E-01,0.00E+00,0.0000,0.0000,0.00,9.90E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.67E+01,3.60E+01,-2.45E-01,0.00E+00,-2.45E-01,0.00E+00,0.0000,0.0000,0.00,9.90E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.68E+01,3.70E+01,-2.45E-01,0.00E+00,-2.45E-01,0.00E+00,0.0000,0.0000,0.00,9.90E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.70E+01,3.80E+01,-2.45E-01,0.00E+00,-2.45E-01,0.00E+00,0.0000,0.0000,0.00,9.90E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.71E+01,3.90E+01,-2.45E-01,0.00E+00,-2.45E-01,0.00E+00,0.0000,0.0000,0.00,9.90E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.73E+01,4.00E+01,-2.45E-01,0.00E+00,-2.45E-01,0.00E+00,0.0000,0.0000,0.00,9.90E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.75E+01,4.10E+01,-2.45E-01,0.00E+00,-2.45E-01,0.00E+00,0.0000,0.0000,0.00,9.90E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.76E+01,4.20E+01,-2.45E-01,0.00E+00,-2.45E-01,0.00E+00,0.0000,0.0000,0.00,9.90E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.77E+01,4.30E+01,-2.45E-01,0.00E+00,-2.45E-01,0.00E+00,0.0000,0.0000,0.00,9.90E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.79E+01,4.40E+01,-2.45E-01,0.00E+00,-2.45E-01,0.00E+00,0.0000,0.0000,0.00,9.90E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.81E+01,4.50E+01,-2.45E-01,0.00E+00,-2.45E-01,0.00E+00,0.0000,0.0000,0.00,9.89E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.83E+01,4.60E+01,-2.45E-01,0.00E+00,-2.45E-01,0.00E+00,0.0000,0.0000,0.00,9.89E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.84E+01,4.70E+01,-2.45E-01,0.00E+00,-2.45E-01,0.00E+00,0.0000,0.0000,0.00,9.89E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.86E+01,4.80E+01,-2.46E-01,0.00E+00,-2.46E-01,0.00E+00,0.0000,0.0000,0.00,9.89E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.87E+01,4.90E+01,-2.46E-01,0.00E+00,-2.46E-01,0.00E+00,0.0000,0.0000,0.00,9.89E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.89E+01,5.00E+01,-2.46E-01,0.00E+00,-2.46E-01,0.00E+00,0.0000,0.0000,0.00,9.89E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.90E+01,5.10E+01,-2.46E-01,0.00E+00,-2.46E-01,0.00E+00,0.0000,0.0000,0.00,9.89E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.92E+01,5.20E+01,-2.46E-01,0.00E+00,-2.46E-01,0.00E+00,0.0000,0.0000,0.00,9.89E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.94E+01,5.30E+01,-2.46E-01,0.00E+00,-2.46E-01,0.00E+00,0.0000,0.0000,0.00,9.89E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.95E+01,5.40E+01,-2.47E-01,0.00E+00,-2.47E-01,0.00E+00,0.0000,0.0000,0.00,9.89E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.97E+01,5.50E+01,-2.47E-01,0.00E+00,-2.47E-01,0.00E+00,0.0000,0.0000,0.00,9.89E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.99E+01,5.60E+01,-2.47E-01,0.00E+00,-2.47E-01,0.00E+00,0.0000,0.0000,0.00,9.89E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.00E+01,5.70E+01,-2.47E-01,0.00E+00,-2.47E-01,0.00E+00,0.0000,0.0000,0.00,9.89E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
