Ts,t,Q released,Weight loss,Q  Base line,W  Base line,Q corrected,Weight loss corrected,Q acumulated,Remaining Weight,,T (oC),Column,Row,Weight [%],Column,Row,,Sample,"Total OM loss
[%]","Total Q released
[J g-1]","Q' 
[J mg-1 OM]","Q50
[J g-1]","T50Q
[oC]","Q1
[%]","Q2
[%]","Q3
[%]","T1Q 
[oC]","T2Q 
[oC]","T3Q 
[oC]","W50
[%]","T50W
[oC]","W1
(%)","W2
(%)","W3
(%)","T1W 
[oC]","T2W 
[oC]","T3W 
[oC]"
[oC],[s],[W g-1],[% OM loss oC-1],[W g-1],[% OM loss oC-1],[W g-1],[mg OM g-1 sample oC-1],[J g-1],[%],,150,J,599,96.1,G,599,,SIA2,5.9,7779,130839,3889,388,43.7,44.8,11.5,344.0,424.6,475.1,3.0,385,2.8,1.9,1.3,325.9,421.4,475.1
5.23E+01,0.00E+00,-4.38E-01,0.00E+00,-4.38E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,375,J,1901,93.3,G,1902,,,,,,,,,,,,,,,,,,,,,
5.23E+01,1.00E+00,-4.57E-01,0.00E+00,-4.57E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,475,J,2507,91.4,G,2508,,,,,,,,,,,,,,,,,,,,,
5.23E+01,2.00E+00,-4.55E-01,0.00E+00,-4.55E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,600,J,3262,90.1,G,3262,,,,,,,,,,,,,,,,,,,,,
5.23E+01,3.00E+00,-4.51E-01,0.00E+00,-4.51E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,H,Total OM loss [%],5.9,,,,,,,,,,,,,,,,,,,,,,,
5.24E+01,4.00E+00,-4.47E-01,0.00E+00,-4.47E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,W50 [%],3.0,,,,,,,,,,,,,,,,,,,,,,,
5.24E+01,5.00E+00,-4.45E-01,0.00E+00,-4.45E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,W50 [%] Relative,93.1,,,,,,,,,,,,,,,,,,,,,,,
5.25E+01,6.00E+00,-4.44E-01,0.00E+00,-4.44E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.26E+01,7.00E+00,-4.44E-01,0.00E+00,-4.44E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.28E+01,8.00E+00,-4.44E-01,0.00E+00,-4.44E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.29E+01,9.00E+00,-4.44E-01,0.00E+00,-4.44E-01,0.00E+00,0.0000,0.0000,0.00,9.92E+01,,Q'= Q/OM [J mg OM-1],Q corrected,Q corrected abs,Q50,Groups of resistance to thermal oxidation,,,,,,,,,,,,,,,,,,,,,,
5.30E+01,1.00E+01,-4.44E-01,0.00E+00,-4.44E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,oC,,,,,,,,,,,,,,,,,,,,,
5.31E+01,1.10E+01,-4.44E-01,0.00E+00,-4.44E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,130839.3,7779,7779,3889.3,Q total,150-600,,,,,,,,,,,,,,,,,,,,,
5.33E+01,1.20E+01,-4.43E-01,0.00E+00,-4.43E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.34E+01,1.30E+01,-4.43E-01,0.00E+00,-4.43E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,3398,3398,,Q1,150-375,,,,,,,,,,,,,,,,,,,,,
5.35E+01,1.40E+01,-4.44E-01,0.00E+00,-4.44E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.37E+01,1.50E+01,-4.44E-01,0.00E+00,-4.44E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,3486,3486,,Q2,375-475,,,,,,,,,,,,,,,,,,,,,
5.38E+01,1.60E+01,-4.44E-01,0.00E+00,-4.44E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.40E+01,1.70E+01,-4.45E-01,0.00E+00,-4.45E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,894,894,,Q3,475-600,,,,,,,,,,,,,,,,,,,,,
5.41E+01,1.80E+01,-4.45E-01,0.00E+00,-4.45E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.42E+01,1.90E+01,-4.46E-01,0.00E+00,-4.46E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,7779,7779,,Q1+Q2+Q3,150-580,,,,,,,,,,,,,,,,,,,,,
5.44E+01,2.00E+01,-4.46E-01,0.00E+00,-4.46E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.45E+01,2.10E+01,-4.47E-01,0.00E+00,-4.47E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.47E+01,2.20E+01,-4.48E-01,0.00E+00,-4.48E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.48E+01,2.30E+01,-4.48E-01,0.00E+00,-4.48E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.50E+01,2.40E+01,-4.49E-01,0.00E+00,-4.49E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.51E+01,2.50E+01,-4.49E-01,0.00E+00,-4.49E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.53E+01,2.60E+01,-4.49E-01,0.00E+00,-4.49E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.54E+01,2.70E+01,-4.49E-01,0.00E+00,-4.49E-01,0.00E+00,0.0000,0.0000,0.00,9.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
